,Confidence,TP,FP,GT_count
0,1.0,0,1,2
1,1.0,1,0,2
2,1.0,1,0,2
3,1.0,1,0,3
4,1.0,1,0,3
5,1.0,1,0,2
6,1.0,1,0,2
7,1.0,1,0,2
8,1.0,1,0,2
9,1.0,1,0,2
10,1.0,1,0,2
11,1.0,1,0,2
12,1.0,1,0,2
13,1.0,1,0,2
14,1.0,1,0,2
15,1.0,1,0,2
16,1.0,1,0,2
17,1.0,1,0,2
18,1.0,1,0,2
19,1.0,1,0,2
20,1.0,1,0,2
21,1.0,1,0,2
22,1.0,1,0,2
23,1.0,1,0,3
24,1.0,1,0,3
25,1.0,1,0,2
26,1.0,1,0,2
27,1.0,1,0,2
28,1.0,1,0,3
29,1.0,1,0,3
30,1.0,1,0,3
31,1.0,1,0,2
32,1.0,1,0,3
33,1.0,1,0,3
34,1.0,1,0,3
35,1.0,1,0,3
36,1.0,1,0,3
37,1.0,1,0,3
38,1.0,1,0,3
39,1.0,1,0,3
40,1.0,1,0,2
41,1.0,1,0,2
42,1.0,1,0,2
43,1.0,1,0,3
44,1.0,1,0,3
45,1.0,0,1,3
46,1.0,1,0,2
47,1.0,0,1,2
48,1.0,0,1,2
49,1.0,1,0,1
50,1.0,0,1,3
51,1.0,0,1,3
52,1.0,0,1,3
53,1.0,0,1,2
54,1.0,0,1,3
55,1.0,1,0,2
56,1.0,0,1,2
57,1.0,1,0,3
58,1.0,1,0,3
59,1.0,1,0,3
60,1.0,1,0,3
61,1.0,1,0,2
62,1.0,1,0,3
63,1.0,1,0,2
64,1.0,0,1,2
65,1.0,1,0,4
66,1.0,1,0,2
67,1.0,1,0,2
68,1.0,1,0,2
69,1.0,0,1,2
70,1.0,0,1,2
71,1.0,0,1,2
72,1.0,1,0,2
73,1.0,0,1,4
74,1.0,1,0,2
75,1.0,0,1,3
76,1.0,0,1,4
77,1.0,1,0,3
78,1.0,1,0,2
79,1.0,1,0,2
80,0.9999999,0,1,4
81,0.9999999,1,0,2
82,0.9999999,1,0,2
83,0.9999999,1,0,2
84,0.9999999,1,0,3
85,0.9999999,1,0,2
86,0.9999999,0,1,3
87,0.9999999,1,0,3
88,0.9999999,1,0,3
89,0.9999999,1,0,3
90,0.9999999,1,0,2
91,0.99999976,1,0,2
92,0.99999976,0,1,4
93,0.99999964,1,0,2
94,0.99999964,0,1,2
95,0.9999995,1,0,2
96,0.9999994,1,0,2
97,0.9999994,1,0,3
98,0.9999994,0,1,3
99,0.9999993,0,1,2
100,0.99999917,0,1,2
101,0.99999917,1,0,3
102,0.9999989,1,0,1
103,0.9999989,1,0,2
104,0.9999988,1,0,3
105,0.9999988,1,0,3
106,0.9999987,1,0,2
107,0.999998,1,0,3
108,0.9999974,0,1,3
109,0.9999964,0,1,4
110,0.99999475,1,0,2
111,0.99999464,0,1,3
112,0.9999895,1,0,3
113,0.9999882,1,0,2
114,0.99998057,1,0,2
115,0.999979,1,0,3
116,0.9999788,0,1,3
117,0.99986804,0,1,3
118,0.9996823,1,0,3
119,0.99782014,1,0,2
120,0.98612297,0,1,3
121,0.95927405,0,1,3
122,0.8732218,0,1,4
123,0.804334,0,1,3
